时间,CPU占用(%),用户态(%),系统态(%),iowait(%),软中断(%),内存使用(%),内存可用(MB),swap使用(MB),load1,load5,load15,磁盘读(MB/s),磁盘写(MB/s),网络发送(MB/s),网络接收(MB/s)
2026-09-13 15:01:29,8.82,5.79,2.52,0.5,0.5,15.72,6476.1,0.0,0.51,0.19,0.06,0.0,0.02,1.27,0.04
2026-09-13 15:01:30,1.26,0.76,0.5,0.25,0.0,15.65,6482.0,0.0,0.51,0.19,0.06,0.0,0.09,0.02,0.03
2026-09-13 15:01:31,2.02,1.51,0.5,0.25,0.0,15.58,6487.2,0.0,0.51,0.19,0.06,0.0,0.0,0.0,0.02
2026-09-13 15:01:32,0.75,0.25,0.5,0.0,0.0,15.46,6496.2,0.0,0.47,0.19,0.06,0.0,0.0,0.03,0.02
2026-09-13 15:01:33,1.0,0.25,0.75,0.0,0.0,15.41,6500.0,0.0,0.47,0.19,0.06,0.0,0.0,0.0,0.01
2026-09-13 15:01:34,1.01,0.5,0.5,0.0,0.0,15.37,6502.9,0.0,0.47,0.19,0.06,0.0,0.0,0.0,0.01
2026-09-13 15:01:35,0.75,0.25,0.5,0.5,0.0,15.34,6505.9,0.0,0.47,0.19,0.06,0.0,0.11,0.0,0.01
2026-09-13 15:01:36,11.28,9.02,2.01,0.25,0.25,15.22,6514.6,0.0,0.47,0.19,0.06,0.25,0.02,0.01,0.01
2026-09-13 15:01:37,1.01,0.25,0.76,0.0,0.0,15.22,6514.4,0.0,0.43,0.18,0.06,0.0,0.0,0.0,0.01
2026-09-13 15:01:38,1.5,0.5,1.0,0.0,0.0,15.22,6514.4,0.0,0.43,0.18,0.06,0.0,0.0,0.0,0.01
2026-09-13 15:01:39,1.75,0.75,1.0,0.25,0.0,15.22,6514.4,0.0,0.43,0.18,0.06,0.0,0.0,0.0,0.01
2026-09-13 15:01:40,1.01,0.25,0.76,0.0,0.0,15.22,6514.4,0.0,0.43,0.18,0.06,0.0,0.0,0.0,0.01
