用例ID,所属模块,接口名称,优先级,用例标题,前置条件,请求方法,接口地址,请求头部(Headers),请求参数(Query/Body),操作步骤,预期结果(响应码+响应体关键字段),备注
API_LOGIN_001,用户管理,用户登录,P0,验证正确邮箱密码登录成功,"1. 系统已创建测试账号admin@qq.com
2. 用户未登录",POST,/api/user/login,"{
  ""Content-Type"": ""application/json""
}","{
  ""email"": ""admin@qq.com"",
  ""password"": ""Admin@123""
}","1. 构造登录请求
2. 设置请求头及请求参数
3. 发送请求
4. 查看接口响应
5. 校验响应结果","HTTP Status：200
{
  ""code"": 0,
  ""message"": ""success"",
  ""data"": {
    ""token"": ""非空"",
    ""userId"": 大于0,
    ""expireTime"": 符合时间戳格式
  }
}",无
API_LOGIN_002,用户管理,用户登录,P0,验证邮箱为空登录失败,"1. 系统已创建测试账号
2. 用户未登录",POST,/api/user/login,"{
  ""Content-Type"": ""application/json""
}","{
  ""email"": """",
  ""password"": ""Admin@123""
}","1. 构造登录请求
2. email设置为空字符串
3. 发送请求
4. 查看接口响应
5. 校验响应结果","HTTP Status：400
{
  ""code"": 10001,
  ""message"": ""email is required""
}",必填校验
API_LOGIN_003,用户管理,用户登录,P0,验证密码为空登录失败,"1. 系统已创建测试账号
2. 用户未登录",POST,/api/user/login,"{
  ""Content-Type"": ""application/json""
}","{
  ""email"": ""admin@qq.com"",
  ""password"": """"
}","1. 构造登录请求
2. password设置为空字符串
3. 发送请求
4. 查看接口响应
5. 校验响应结果","HTTP Status：400
{
  ""code"": 10002,
  ""message"": ""password is required""
}",必填校验
API_LOGIN_004,用户管理,用户登录,P1,验证邮箱格式错误登录失败,"1. 用户未登录",POST,/api/user/login,"{
  ""Content-Type"": ""application/json""
}","{
  ""email"": ""admin@qq"",
  ""password"": ""Admin@123""
}","1. 构造登录请求
2. email设置为无效邮箱格式
3. 发送请求
4. 查看接口响应
5. 校验响应结果","HTTP Status：400
{
  ""code"": 10003,
  ""message"": ""invalid email format""
}",参数格式校验
API_LOGIN_005,用户管理,用户登录,P0,验证错误密码登录失败,"1. 系统已创建测试账号admin@qq.com
2. 用户未登录",POST,/api/user/login,"{
  ""Content-Type"": ""application/json""
}","{
  ""email"": ""admin@qq.com"",
  ""password"": ""Wrong@123""
}","1. 构造登录请求
2. password设置为错误密码
3. 发送请求
4. 查看接口响应
5. 校验响应结果","HTTP Status：401
{
  ""code"": 10004,
  ""message"": ""invalid email or password""
}",业务异常
API_LOGIN_006,用户管理,用户登录,P0,验证不存在的邮箱登录失败,"1. 用户未登录",POST,/api/user/login,"{
  ""Content-Type"": ""application/json""
}","{
  ""email"": ""notexist@qq.com"",
  ""password"": ""Admin@123""
}","1. 构造登录请求
2. email设置为不存在的邮箱
3. 发送请求
4. 查看接口响应
5. 校验响应结果","HTTP Status：401
{
  ""code"": 10004,
  ""message"": ""invalid email or password""
}",业务异常
API_LOGIN_007,用户管理,用户登录,P0,验证缺少email参数登录失败,"1. 用户未登录",POST,/api/user/login,"{
  ""Content-Type"": ""application/json""
}","{
  ""password"": ""Admin@123""
}","1. 构造登录请求
2. 请求体中不包含email字段
3. 发送请求
4. 查看接口响应
5. 校验响应结果","HTTP Status：400
{
  ""code"": 10001,
  ""message"": ""email is required""
}",必填校验
API_LOGIN_008,用户管理,用户登录,P0,验证缺少password参数登录失败,"1. 用户未登录",POST,/api/user/login,"{
  ""Content-Type"": ""application/json""
}","{
  ""email"": ""admin@qq.com""
}","1. 构造登录请求
2. 请求体中不包含password字段
3. 发送请求
4. 查看接口响应
5. 校验响应结果","HTTP Status：400
{
  ""code"": 10002,
  ""message"": ""password is required""
}",必填校验
API_LOGIN_009,用户管理,用户登录,P1,验证邮箱参数类型为数字登录失败,"1. 用户未登录",POST,/api/user/login,"{
  ""Content-Type"": ""application/json""
}","{
  ""email"": 123456,
  ""password"": ""Admin@123""
}","1. 构造登录请求
2. email设置为数字类型
3. 发送请求
4. 查看接口响应
5. 校验响应结果","HTTP Status：400
{
  ""code"": 10005,
  ""message"": ""email must be a string""
}",参数类型校验
API_LOGIN_010,用户管理,用户登录,P1,验证密码参数类型为数字登录失败,"1. 用户未登录",POST,/api/user/login,"{
  ""Content-Type"": ""application/json""
}","{
  ""email"": ""admin@qq.com"",
  ""password"": 123456
}","1. 构造登录请求
2. password设置为数字类型
3. 发送请求
4. 查看接口响应
5. 校验响应结果","HTTP Status：400
{
  ""code"": 10006,
  ""message"": ""password must be a string""
}",参数类型校验
