2026-06-04 00:17:37.749 | INFO     | ui_conftest | 测试环境 URL: http://192.168.64.7:8181
2026-06-04 00:17:37.750 | INFO     | smoke_conftest | [冒烟测试] 开始: test_edit_user_info_and_save
2026-06-04 00:17:37.750 | INFO     | ui_conftest | 初始化浏览器: type=chrome, headless=False
2026-06-04 00:17:46.611 | INFO     | ui_conftest | 浏览器已启动: chrome
2026-06-04 00:17:46.611 | INFO     | TosLoginPage | 打开 TOS 登录页面: http://192.168.64.7:8181
2026-06-04 00:17:46.611 | INFO     | BasePage | 打开页面: http://192.168.64.7:8181
2026-06-04 00:17:46.664 | INFO     | BasePage | 页面已打开: http://192.168.64.7:8181
2026-06-04 00:17:49.674 | DEBUG    | DataLoader | 加载 YAML 数据: /Users/miaoqi/Desktop/test_dev_projects/ui_automation/testcases/smoke/../../testdata/tos_login_data.yaml
2026-06-04 00:17:49.674 | INFO     | TosLoginPage | 执行登录: 用户=test, 保持登录=False
2026-06-04 00:17:49.674 | INFO     | TosLoginPage | 输入用户名: test
2026-06-04 00:17:49.674 | DEBUG    | BasePage | 等待元素可见: ('css selector', "input.Xinput-input__inner[placeholder='用户名']"), 超时: 15s
2026-06-04 00:17:51.066 | DEBUG    | BasePage | 元素已可见: ('css selector', "input.Xinput-input__inner[placeholder='用户名']")
2026-06-04 00:17:51.066 | INFO     | BasePage | 输入文本到元素: ('css selector', "input.Xinput-input__inner[placeholder='用户名']"), 内容: 'test'
2026-06-04 00:17:51.066 | DEBUG    | BasePage | 查找元素: ('css selector', "input.Xinput-input__inner[placeholder='用户名']"), 超时: 10s
2026-06-04 00:17:51.070 | DEBUG    | BasePage | 元素已找到: ('css selector', "input.Xinput-input__inner[placeholder='用户名']")
2026-06-04 00:17:51.085 | DEBUG    | BasePage | 已清空输入框
2026-06-04 00:17:51.162 | INFO     | BasePage | 文本输入成功: 'test'
2026-06-04 00:17:51.162 | INFO     | TosLoginPage | 点击下一步（第一步）
2026-06-04 00:17:51.162 | DEBUG    | BasePage | 查找元素: ('css selector', 'i.iconfont.iconright'), 超时: 10s
2026-06-04 00:17:51.166 | DEBUG    | BasePage | 元素已找到: ('css selector', 'i.iconfont.iconright')
2026-06-04 00:17:51.218 | DEBUG    | BasePage | 等待元素可见: ('css selector', "input.Xinput-input__inner[placeholder='密码']"), 超时: 10s
2026-06-04 00:17:51.227 | DEBUG    | BasePage | 元素已可见: ('css selector', "input.Xinput-input__inner[placeholder='密码']")
2026-06-04 00:17:51.227 | INFO     | TosLoginPage | 输入密码
2026-06-04 00:17:51.227 | DEBUG    | BasePage | 等待元素可见: ('css selector', "input.Xinput-input__inner[placeholder='密码']"), 超时: 10s
2026-06-04 00:17:51.237 | DEBUG    | BasePage | 元素已可见: ('css selector', "input.Xinput-input__inner[placeholder='密码']")
2026-06-04 00:17:51.237 | INFO     | BasePage | 输入文本到元素: ('css selector', "input.Xinput-input__inner[placeholder='密码']"), 内容: 'Admin123'
2026-06-04 00:17:51.237 | DEBUG    | BasePage | 查找元素: ('css selector', "input.Xinput-input__inner[placeholder='密码']"), 超时: 10s
2026-06-04 00:17:51.242 | DEBUG    | BasePage | 元素已找到: ('css selector', "input.Xinput-input__inner[placeholder='密码']")
2026-06-04 00:17:51.250 | DEBUG    | BasePage | 已清空输入框
2026-06-04 00:17:51.307 | INFO     | BasePage | 文本输入成功: 'Admin123'
2026-06-04 00:17:51.307 | INFO     | TosLoginPage | 取消勾选保持登录
2026-06-04 00:17:51.307 | DEBUG    | BasePage | 查找元素: ('css selector', 'input.input_check'), 超时: 5s
2026-06-04 00:17:51.314 | DEBUG    | BasePage | 元素已找到: ('css selector', 'input.input_check')
2026-06-04 00:17:51.318 | INFO     | TosLoginPage | 点击下一步（第二步/登录）
2026-06-04 00:17:51.318 | DEBUG    | BasePage | 查找元素: ('css selector', 'i.iconfont.iconright'), 超时: 10s
2026-06-04 00:17:51.320 | DEBUG    | BasePage | 元素已找到: ('css selector', 'i.iconfont.iconright')
2026-06-04 00:17:56.330 | INFO     | TosLoginPage | 验证登录是否成功...
2026-06-04 00:17:56.335 | INFO     | TosLoginPage | 登录成功：URL 已变为 http://192.168.64.7:8181/tos/#/desktop
2026-06-04 00:17:59.336 | INFO     | TosDesktopPage | 在桌面空白区域执行右键操作
2026-06-04 00:17:59.336 | DEBUG    | BasePage | 查找元素: ('css selector', 'div.desktop_icons'), 超时: 10s
2026-06-04 00:17:59.344 | DEBUG    | BasePage | 元素已找到: ('css selector', 'div.desktop_icons')
2026-06-04 00:18:01.117 | INFO     | TosDesktopPage | 点击右键菜单项: 用户设置
2026-06-04 00:18:01.117 | DEBUG    | BasePage | 查找元素: ('xpath', "//ul[contains(@class,'context-menu-list')]//li[contains(@class,'context-menu-item')]//span[@class='name' and text()='用户设置']"), 超时: 5s
2026-06-04 00:18:01.133 | DEBUG    | BasePage | 元素已找到: ('xpath', "//ul[contains(@class,'context-menu-list')]//li[contains(@class,'context-menu-item')]//span[@class='name' and text()='用户设置']")
2026-06-04 00:18:04.164 | INFO     | TosDesktopPage | 已点击用户设置
2026-06-04 00:18:07.166 | DEBUG    | BasePage | 等待元素可见: ('xpath', "//li[contains(@class,'tab-list')]//span[@class='tab-list-title' and text()='账号']"), 超时: 10s
2026-06-04 00:18:07.180 | DEBUG    | BasePage | 元素已可见: ('xpath', "//li[contains(@class,'tab-list')]//span[@class='tab-list-title' and text()='账号']")
2026-06-04 00:18:09.183 | INFO     | TosUserSettingsPage | 编辑用户信息: 描述='ui自动化冒烟测试_001809', 邮箱='1240676024@qq.com', 电话='14776426718'
2026-06-04 00:18:09.183 | INFO     | TosUserSettingsPage | 输入描述: ui自动化冒烟测试_001809
2026-06-04 00:18:10.101 | INFO     | TosUserSettingsPage | 输入密保邮箱: 1240676024@qq.com
2026-06-04 00:18:10.999 | INFO     | TosUserSettingsPage | 输入电话号码: 14776426718
2026-06-04 00:18:11.895 | INFO     | TosUserSettingsPage | 点击应用按钮
2026-06-04 00:18:11.895 | DEBUG    | BasePage | 查找元素: ('css selector', 'button.button.emphasis'), 超时: 10s
2026-06-04 00:18:11.905 | DEBUG    | BasePage | 元素已找到: ('css selector', 'button.button.emphasis')
2026-06-04 00:18:12.607 | INFO     | TosUserSettingsPage | 检测到成功提示（页面源码中）
2026-06-04 00:18:12.900 | INFO     | BasePage | 截图已保存: /Users/miaoqi/Desktop/test_dev_projects/ui_automation/evidence/after_edit_user_info_success_20260604_001812_607701.png
2026-06-04 00:18:12.901 | INFO     | TestTosUserSettings | TC_SETTINGS_006 通过：编辑用户信息并保存成功，'设置成功!'提示已出现
2026-06-04 00:18:13.162 | INFO     | BasePage | 截图已保存: /Users/miaoqi/Desktop/test_dev_projects/ui_automation/evidence/user_settings_test_end_20260604_001812_903567.png
2026-06-04 00:18:13.261 | INFO     | ui_conftest | 浏览器已关闭
2026-06-04 00:18:13.261 | INFO     | smoke_conftest | [冒烟测试] 结束: test_edit_user_info_and_save
2026-06-04 00:18:13.326 | INFO     | smoke_conftest | [冒烟测试] 开始: test_other_tab_check_and_apply
2026-06-04 00:18:13.327 | INFO     | ui_conftest | 初始化浏览器: type=chrome, headless=False
2026-06-04 00:18:14.406 | INFO     | ui_conftest | 浏览器已启动: chrome
2026-06-04 00:18:14.407 | INFO     | TosLoginPage | 打开 TOS 登录页面: http://192.168.64.7:8181
2026-06-04 00:18:14.407 | INFO     | BasePage | 打开页面: http://192.168.64.7:8181
2026-06-04 00:18:14.441 | INFO     | BasePage | 页面已打开: http://192.168.64.7:8181
2026-06-04 00:18:17.450 | DEBUG    | DataLoader | 加载 YAML 数据: /Users/miaoqi/Desktop/test_dev_projects/ui_automation/testcases/smoke/../../testdata/tos_login_data.yaml
2026-06-04 00:18:17.450 | INFO     | TosLoginPage | 执行登录: 用户=test, 保持登录=False
2026-06-04 00:18:17.450 | INFO     | TosLoginPage | 输入用户名: test
2026-06-04 00:18:17.450 | DEBUG    | BasePage | 等待元素可见: ('css selector', "input.Xinput-input__inner[placeholder='用户名']"), 超时: 15s
2026-06-04 00:18:18.730 | DEBUG    | BasePage | 元素已可见: ('css selector', "input.Xinput-input__inner[placeholder='用户名']")
2026-06-04 00:18:18.731 | INFO     | BasePage | 输入文本到元素: ('css selector', "input.Xinput-input__inner[placeholder='用户名']"), 内容: 'test'
2026-06-04 00:18:18.731 | DEBUG    | BasePage | 查找元素: ('css selector', "input.Xinput-input__inner[placeholder='用户名']"), 超时: 10s
2026-06-04 00:18:18.736 | DEBUG    | BasePage | 元素已找到: ('css selector', "input.Xinput-input__inner[placeholder='用户名']")
2026-06-04 00:18:18.749 | DEBUG    | BasePage | 已清空输入框
2026-06-04 00:18:18.822 | INFO     | BasePage | 文本输入成功: 'test'
2026-06-04 00:18:18.822 | INFO     | TosLoginPage | 点击下一步（第一步）
2026-06-04 00:18:18.823 | DEBUG    | BasePage | 查找元素: ('css selector', 'i.iconfont.iconright'), 超时: 10s
2026-06-04 00:18:18.827 | DEBUG    | BasePage | 元素已找到: ('css selector', 'i.iconfont.iconright')
2026-06-04 00:18:18.874 | DEBUG    | BasePage | 等待元素可见: ('css selector', "input.Xinput-input__inner[placeholder='密码']"), 超时: 10s
2026-06-04 00:18:18.884 | DEBUG    | BasePage | 元素已可见: ('css selector', "input.Xinput-input__inner[placeholder='密码']")
2026-06-04 00:18:18.884 | INFO     | TosLoginPage | 输入密码
2026-06-04 00:18:18.884 | DEBUG    | BasePage | 等待元素可见: ('css selector', "input.Xinput-input__inner[placeholder='密码']"), 超时: 10s
2026-06-04 00:18:18.894 | DEBUG    | BasePage | 元素已可见: ('css selector', "input.Xinput-input__inner[placeholder='密码']")
2026-06-04 00:18:18.894 | INFO     | BasePage | 输入文本到元素: ('css selector', "input.Xinput-input__inner[placeholder='密码']"), 内容: 'Admin123'
2026-06-04 00:18:18.894 | DEBUG    | BasePage | 查找元素: ('css selector', "input.Xinput-input__inner[placeholder='密码']"), 超时: 10s
2026-06-04 00:18:18.897 | DEBUG    | BasePage | 元素已找到: ('css selector', "input.Xinput-input__inner[placeholder='密码']")
2026-06-04 00:18:18.904 | DEBUG    | BasePage | 已清空输入框
2026-06-04 00:18:18.963 | INFO     | BasePage | 文本输入成功: 'Admin123'
2026-06-04 00:18:18.963 | INFO     | TosLoginPage | 取消勾选保持登录
2026-06-04 00:18:18.963 | DEBUG    | BasePage | 查找元素: ('css selector', 'input.input_check'), 超时: 5s
2026-06-04 00:18:18.968 | DEBUG    | BasePage | 元素已找到: ('css selector', 'input.input_check')
2026-06-04 00:18:18.973 | INFO     | TosLoginPage | 点击下一步（第二步/登录）
2026-06-04 00:18:18.973 | DEBUG    | BasePage | 查找元素: ('css selector', 'i.iconfont.iconright'), 超时: 10s
2026-06-04 00:18:18.976 | DEBUG    | BasePage | 元素已找到: ('css selector', 'i.iconfont.iconright')
2026-06-04 00:18:23.979 | INFO     | TosLoginPage | 验证登录是否成功...
2026-06-04 00:18:23.986 | INFO     | TosLoginPage | 登录成功：URL 已变为 http://192.168.64.7:8181/tos/#/desktop
2026-06-04 00:18:26.988 | INFO     | TosDesktopPage | 在桌面空白区域执行右键操作
2026-06-04 00:18:26.989 | DEBUG    | BasePage | 查找元素: ('css selector', 'div.desktop_icons'), 超时: 10s
2026-06-04 00:18:26.998 | DEBUG    | BasePage | 元素已找到: ('css selector', 'div.desktop_icons')
2026-06-04 00:18:28.774 | INFO     | TosDesktopPage | 点击右键菜单项: 用户设置
2026-06-04 00:18:28.774 | DEBUG    | BasePage | 查找元素: ('xpath', "//ul[contains(@class,'context-menu-list')]//li[contains(@class,'context-menu-item')]//span[@class='name' and text()='用户设置']"), 超时: 5s
2026-06-04 00:18:28.782 | DEBUG    | BasePage | 元素已找到: ('xpath', "//ul[contains(@class,'context-menu-list')]//li[contains(@class,'context-menu-item')]//span[@class='name' and text()='用户设置']")
2026-06-04 00:18:31.816 | INFO     | TosDesktopPage | 已点击用户设置
2026-06-04 00:18:34.819 | INFO     | TosUserSettingsPage | 点击 Tab: 其它
2026-06-04 00:18:34.820 | INFO     | BasePage | 点击元素: ('xpath', "//div[contains(@class,'tab-slider-item') and contains(text(),'其它')]")
2026-06-04 00:18:34.853 | INFO     | BasePage | 元素点击成功: ('xpath', "//div[contains(@class,'tab-slider-item') and contains(text(),'其它')]")
2026-06-04 00:18:37.862 | INFO     | TosUserSettingsPage | 取消勾选'其它' Tab 所有复选框
2026-06-04 00:18:37.894 | INFO     | TosUserSettingsPage | '其它' Tab 复选框数量: 3
2026-06-04 00:18:37.920 | INFO     | TosUserSettingsPage |   取消勾选第 1 个复选框
2026-06-04 00:18:38.257 | INFO     | TosUserSettingsPage |   取消勾选第 2 个复选框
2026-06-04 00:18:38.591 | INFO     | TosUserSettingsPage |   取消勾选第 3 个复选框
2026-06-04 00:18:39.899 | INFO     | TosUserSettingsPage | 点击应用按钮
2026-06-04 00:18:39.899 | DEBUG    | BasePage | 查找元素: ('css selector', 'button.button.emphasis'), 超时: 10s
2026-06-04 00:18:39.906 | DEBUG    | BasePage | 元素已找到: ('css selector', 'button.button.emphasis')
2026-06-04 00:18:40.599 | INFO     | TosUserSettingsPage | 检测到成功提示（页面源码中）
2026-06-04 00:18:40.894 | INFO     | BasePage | 截图已保存: /Users/miaoqi/Desktop/test_dev_projects/ui_automation/evidence/after_uncheck_all_apply_20260604_001840_600088.png
2026-06-04 00:18:40.895 | INFO     | TestTosUserSettings | TC_SETTINGS_007 步骤1通过：取消所有勾选并应用成功
2026-06-04 00:18:42.900 | INFO     | TosUserSettingsPage | 勾选'其它' Tab 所有复选框
2026-06-04 00:18:42.931 | INFO     | TosUserSettingsPage | '其它' Tab 复选框数量: 3
2026-06-04 00:18:42.949 | INFO     | TosUserSettingsPage |   勾选第 1 个复选框
2026-06-04 00:18:43.273 | INFO     | TosUserSettingsPage |   勾选第 2 个复选框
2026-06-04 00:18:43.602 | INFO     | TosUserSettingsPage |   勾选第 3 个复选框
2026-06-04 00:18:44.908 | INFO     | TosUserSettingsPage | 点击应用按钮
2026-06-04 00:18:44.908 | DEBUG    | BasePage | 查找元素: ('css selector', 'button.button.emphasis'), 超时: 10s
2026-06-04 00:18:44.914 | DEBUG    | BasePage | 元素已找到: ('css selector', 'button.button.emphasis')
2026-06-04 00:18:45.595 | INFO     | TosUserSettingsPage | 检测到成功提示（页面源码中）
2026-06-04 00:18:45.890 | INFO     | BasePage | 截图已保存: /Users/miaoqi/Desktop/test_dev_projects/ui_automation/evidence/after_check_all_apply_20260604_001845_595314.png
2026-06-04 00:18:45.890 | INFO     | TestTosUserSettings | TC_SETTINGS_007 步骤2通过：勾选所有并应用成功
2026-06-04 00:18:46.143 | INFO     | BasePage | 截图已保存: /Users/miaoqi/Desktop/test_dev_projects/ui_automation/evidence/user_settings_test_end_20260604_001845_895003.png
2026-06-04 00:18:46.236 | INFO     | ui_conftest | 浏览器已关闭
2026-06-04 00:18:46.236 | INFO     | smoke_conftest | [冒烟测试] 结束: test_other_tab_check_and_apply
