时间,CPU占用(%),用户态(%),系统态(%),iowait(%),软中断(%),内存使用(%),内存可用(MB),swap使用(MB),load1,load5,load15,磁盘读(MB/s),磁盘写(MB/s),网络发送(MB/s),网络接收(MB/s)
2026-09-13 15:24:31,14.07,12.31,1.76,1.01,0.0,15.34,6505.8,0.0,0.22,0.14,0.1,0.0,0.07,0.0,0.01
2026-09-13 15:24:32,1.26,0.76,0.5,0.0,0.0,15.31,6507.5,0.0,0.22,0.14,0.1,0.0,0.01,0.0,0.01
2026-09-13 15:24:33,2.02,0.76,1.26,0.0,0.0,15.34,6505.7,0.0,0.2,0.13,0.1,0.25,0.0,0.0,0.02
2026-09-13 15:24:34,1.76,1.01,0.75,0.5,0.0,15.35,6504.5,0.0,0.2,0.13,0.1,0.0,0.01,0.0,0.01
2026-09-13 15:24:35,1.75,0.75,0.75,0.0,0.25,15.35,6504.5,0.0,0.2,0.13,0.1,0.0,0.0,0.0,0.01
2026-09-13 15:24:36,1.26,0.25,1.01,0.0,0.0,15.26,6511.7,0.0,0.2,0.13,0.1,0.0,0.0,0.0,0.0
2026-09-13 15:24:37,1.51,0.75,0.75,0.25,0.0,15.26,6511.4,0.0,0.2,0.13,0.1,0.0,0.02,0.0,0.01
2026-09-13 15:24:38,1.51,0.5,1.01,0.0,0.0,15.26,6511.4,0.0,0.18,0.13,0.1,0.0,0.0,0.0,0.01
2026-09-13 15:24:39,1.01,0.25,0.75,0.0,0.0,15.26,6511.4,0.0,0.18,0.13,0.1,0.0,0.0,0.0,0.01
2026-09-13 15:24:40,1.26,0.5,0.76,0.0,0.0,15.27,6511.2,0.0,0.18,0.13,0.1,0.0,0.0,0.0,0.01
2026-09-13 15:24:41,1.5,0.5,0.75,0.0,0.25,15.27,6511.2,0.0,0.18,0.13,0.1,0.0,0.88,0.0,0.01
2026-09-13 15:24:42,2.51,1.76,0.75,0.25,0.0,15.28,6509.8,0.0,0.18,0.13,0.1,0.0,0.0,0.0,0.01
2026-09-13 15:24:43,1.76,0.75,1.01,0.0,0.0,15.34,6505.8,0.0,0.17,0.13,0.1,0.25,0.0,0.0,0.01
