序号,HTTP 方法,API 路径,API 名称/摘要,分类/Tag,描述
1,"GET","/app/config/language","获取消息配置语言包","","获取当前系统语言的消息配置语言包，用于显示消息类型的国际化名称。前置要求：需要已登录用户的有效 TMSESSNAME Cookie"
2,"PUT","/app/config/register","注册消息配置文件","","外部应用通过此接口注册消息配置文件，注册后消息中心将加载该应用的配置和语言包。前置要求：需要已登录用户的有效 TMSESSNAME Cookie"
3,"PUT","/app/config/unregister","解除注册消息配置","","外部应用通过此接口解除注册消息配置文件，解除后消息中心将不再加载该应用的配置。前置要求：需要已登录用户的有效 TMSESSNAME Cookie"
4,"DELETE","/assistent/delete","删除系统报告","","功能：删除以及生成的系统报告，前置接口： /assistent/get"
5,"GET","/assistent/download","下载系统报告","调试模式","功能：下载已生成的系统报告，前置接口1. /assistent/generate 生成系统报告，2. /assistent/get 获取生成的系统报告信息（主要是logfile)

接口返回zip文件下载流"
6,"POST","/assistent/generate","生成系统报告","","功能：生成系统报告，以便开发人员定位问题解决远程问题"
7,"POST","/assistent/get","获取生成系统报告信息","","功能：获取已生成的系统报告基本信息（前置接口：/assistent/generate)，或未生成系统报告时返回空数据占位信息"
8,"POST","/assistent/process","生成报告进度","","功能：获取生成系统报告的进度，前置接口：/assistent/generate"
9,"PUT","/batch/read","批量标记消息已读","","批量将多条消息标记为已读状态。前置要求：需要已登录用户的有效 TMSESSNAME Cookie"
10,"DELETE","/delete/{id}","删除单条消息","","根据消息ID删除指定消息。前置要求：需要已登录用户的有效 TMSESSNAME Cookie"
11,"DELETE","/delete_all","删除所有消息","","清空所有消息记录，谨慎操作。前置要求：需要已登录用户的有效 TMSESSNAME Cookie"
12,"GET","/desktop/getDebugModel","获取调试模式信息","","功能：获取调试模式信息"
13,"POST","/desktop/setDebugModel","设置调试模式","调试模式","开启、关闭或配置调试模式。调试模式用于收集系统日志以便问题诊断"
14,"POST","/insert","插入消息","","创建一条新的消息记录。前置要求：需要已登录用户的有效 TMSESSNAME Cookie"
15,"GET","/list","获取消息列表","","根据用户和筛选条件获取消息列表。前置要求：需要已登录用户的有效 TMSESSNAME Cookie"
16,"GET","/monitorSystemStatus","监控系统状态","","监控消息中心系统状态，当前返回版本号。前置要求：需要已登录用户的有效 TMSESSNAME Cookie"
17,"POST","/otp/bind_email","绑定邮箱地址","","为当前用户绑定或更新邮箱地址，用于OTP恢复"
18,"POST","/otp/checkcode","验证OTP验证码","","验证用户输入的OTP验证码是否正确。支持记住设备功能，可选择是否将设备加入受信列表"
19,"DELETE","/otp/del_device","删除受信设备","","从受信设备列表中删除指定设备，删除后该设备需要重新进行OTP验证"
20,"GET","/otp/devices","获取受信设备列表","","获取当前用户的所有受信设备列表，用于查看已信任的设备"
21,"POST","/otp/enable_twice","关闭双因素认证","","关闭用户的双因素认证功能。关闭时会清空受信设备列表"
